Station_Number,Date,Depth,Chl,O2,Temp,Sal,Ext_Coeff,PO4,NO3,NH4,Si,Plagioselmis prolonga,Paralia sulcata,Thalassiosira spp.,Unknown Diatom,Eucapsis microscopica
3,2013-03-26,2,17.8,9.8,14.67,2.39,NA,1.61,27.36,2.93,NA,0,0,0,0,0
3,2013-04-23,2,3.1,8.6,17.37,4.53,NA,3.35,37.21,5.57,NA,0,0,0,0,0
4,1993-03-31,2,1.6,NA,12.85,0.06,NA,NA,NA,NA,NA,0,0,0,0,0
4,2016-05-18,1,36.2,9.2,19.76,1.16,3.4,NA,NA,NA,NA,45.27,11.32,56.59,124.49,45070.89
4,2017-02-08,2,6.3,NA,11.33,0.09,NA,2.25,23.13,3.78,253.38,192.51,0,256.67,1711.17,757190.94
6,1993-02-24,1,1.9,NA,10.1,0.1,NA,NA,NA,NA,NA,0,0,0,0,0
6,1993-04-15,1,2.6,NA,15.02,0.09,2.2,1.36,14.5,3.31,275.42,0,0,0,0,0
6,1993-06-15,1,7.2,NA,19.53,0.33,2.9,NA,NA,NA,NA,0,0,0,0,0
6,1993-10-06,1,0.6,8.8,17.82,8.52,1.8,NA,NA,NA,NA,0,1.2,0,0,0
6,1993-12-07,1,0.9,9.3,11.09,9.71,2.4,NA,NA,NA,NA,0,0,0,0,0
6,1994-02-16,2,1.1,10.4,10.57,1.63,NA,NA,NA,NA,NA,0,0,0,0,0
6,1994-04-19,2,2.2,9.2,17.95,3.51,NA,NA,NA,NA,NA,0,0,0,0,0
6,1994-06-15,2,1.6,8.1,20.33,7.99,NA,3.46,34.25,7.28,149.6,0,0,0,0,0
6,1994-08-30,2,1.9,8.1,20.9,11.77,NA,NA,NA,NA,NA,0,0,0,0,0
6,1995-01-18,2,1.2,NA,10.78,0.08,NA,NA,NA,NA,NA,0,0,0,0,0
6,1995-02-07,2,1.2,NA,11.41,0.08,NA,1.55,26.06,3.84,262.28,0,0,0,0,0
6,1995-03-07,2,1.9,NA,12.55,0.1,NA,1.56,33.72,7.08,266.5,0,0,0,0,0
6,1995-04-18,2,4.3,NA,13.09,0.08,NA,NA,NA,NA,NA,0,0,0,0,0
6,1995-05-02,2,9.9,NA,15.87,0.13,NA,1.1,19.25,4.14,230.12,0,0,0,0,0
6,1995-07-18,2,2.8,NA,21.79,0.07,NA,1.42,12.2,1.76,228.79,0,0,0,0,0
6,1995-09-21,2,1.8,8.7,20.57,2.62,NA,2.08,15.59,2.82,218.34,0,0,0,0,0
6,1996-01-11,2,0.7,9.4,10.89,1.74,NA,NA,NA,NA,NA,0,0,0,0,0
6,1996-03-06,2,1.4,10.1,11.06,0.08,NA,NA,NA,NA,NA,0,0,0,0,0
6,1996-05-01,2,5.1,9.2,18.26,4.47,NA,NA,NA,NA,NA,0,0,0,0,0
6,1996-07-17,2,0.8,8.4,20.5,4.47,NA,NA,NA,NA,NA,0,0,0,0,0
6,1996-09-11,2,1.4,8.1,19.97,7.9,NA,NA,NA,NA,NA,0,0,0,0,0
6,1996-11-13,2,1.4,8.7,14.32,14.94,NA,NA,NA,NA,NA,0,0,0,0,0
6,1997-01-28,2,1.2,9.9,10.63,0.05,NA,1.75,34.29,6.17,201.47,15.6,0,0,0,0
6,1997-04-01,2,4,9.6,15.73,0.17,NA,1.53,27.72,5.32,244.78,125,0,0,0,0
6,1997-05-14,2,3.4,8.8,19.5,1.79,NA,2.14,37.55,3.47,207.04,0,0,0,0,0
6,1997-06-10,2,2,8.5,21.22,3.04,NA,2.45,38.19,2.95,214.15,0,0,0,0,0
6,1997-07-15,2,1.9,8.3,21.42,7.98,NA,NA,NA,NA,NA,0,0,0,0,0
6,1997-08-05,2,1.6,8.2,21.88,5.26,NA,2.75,28.35,3.87,228.51,2,0,0,0,0
6,1997-09-09,2,2,8.6,21.92,6.34,NA,NA,NA,NA,NA,0,0,0,0,0
6,1997-11-06,2,1.7,8.2,17.18,14.38,NA,2.77,24.16,8.23,166.08,375,0,0,0,0
6,1998-01-06,2,1.4,9.7,8.65,5.24,NA,NA,NA,NA,NA,7.8,0,0,0,0
6,1998-03-17,2,3.9,10.2,13.89,0.13,NA,1.68,35.41,5.05,248.5,562.5,0,0,0,0
6,1998-05-19,2,2.1,NA,15.59,0.08,NA,1.31,20.44,4.22,240.28,0,0,0,0,0
6,1998-11-10,2,2.5,9.2,14.14,4.21,NA,NA,NA,NA,NA,80,0,0,0,0
6,1999-01-21,2,1.7,10.5,9.01,2.54,NA,1.57,30.19,11.66,263.68,99,0,0,0,0
6,1999-03-09,2,2.4,10.3,10.48,0.06,NA,0.75,9.87,2.4,271.06,415.8,0,0,0,0
6,1999-05-07,2,6.9,9.3,15.45,0.56,NA,1.44,21.06,4.32,238.16,1062.5,0,0,0,0
6,2014-01-14,2,5.6,9.5,10.15,16.78,NA,2.31,34.18,12.57,NA,0,0,909.06,0,0
6,2014-03-11,2,4.4,8.9,15.39,4.17,NA,2.8,58.2,10.6,214,0,0,348.74,37.2,0
6,2014-06-10,2,4.1,7.9,21.21,14.09,NA,3.9,45.1,3.6,148,0,0,2780.64,0,0
6,2014-09-16,2,3,8,20.59,12.71,NA,12.24,23.42,3.64,171.43,0,12.58,0,408.92,0
6,2014-10-15,2,3.4,7.9,19.75,14.36,NA,3.81,34.48,1.71,156.45,0,6.68,20.05,280.74,0
6,2014-11-18,2,1.9,8.5,15.41,12.5,NA,3.75,34.2,6.07,173.09,0,0,0,14.53,46415.38
6,2014-12-10,2,1.3,8.3,14.52,9.57,NA,2.66,39.77,9.42,213.03,0,142.6,35.65,320.84,82385.51
6,2015-01-22,2,1,9,10.68,9.05,NA,2.99,41.62,10.99,252.98,0,44.56,0,490.18,101021.18
6,2015-02-18,2,1.5,8.7,14.37,7.67,NA,2.75,42.55,12.07,244.66,0,53.47,106.95,29.06,74168.35
6,2015-03-17,2,4,8.4,17.1,11.74,NA,2.95,37.13,6.71,193.06,142.6,71.3,142.6,570.39,227798.97
6,2015-04-21,2,2.4,8.5,17.31,8.99,NA,3.36,40.2,6.5,184.74,267.37,89.12,89.12,89.12,84845.31
6,2015-05-19,2,2.4,8.5,17.48,9.82,NA,3.52,37.62,6.21,158.78,916.7,14.53,183.34,1711.17,53535.05
6,2015-07-21,2,9.8,7.8,21.92,13,2.01,3.7,32.5,2.42,135.35,1112.26,7.26,85.56,684.47,31271.56
6,2015-08-26,2,2.4,7.9,21.01,9.93,NA,3.89,31.81,0.46,145.14,770.02,7.26,85.56,7.26,134155.41
6,2015-09-24,2,1.5,7.5,21,15.88,NA,NA,NA,NA,NA,1161.15,183.34,0.4,61.11,81524.84
6,2015-10-15,2,1.6,7.7,20.49,13.12,NA,NA,NA,NA,NA,661.13,38.89,7.26,38.89,35895.59
6,2015-11-18,2,2.6,8.8,13.74,13.99,1.99,NA,NA,NA,NA,2673.7,106.95,106.95,320.84,95932.24
6,2016-01-21,1,1.5,9.8,10.62,4.83,3.06,2.38,44.55,17.35,214.2,427.79,45.03,11.26,191.38,183094.76
6,2016-02-10,1,1.2,9.4,11.32,1.67,4.8,1.87,36.41,9.64,224.79,95.06,7.92,15.84,15.84,135182.11
6,2016-03-09,1,2.8,9,14.18,0.76,3.28,2.05,29.99,13.07,205.37,542.43,0,5.59,5.59,52903.55
6,2016-04-27,1,30,9.3,17.4,0.79,5.11,1.79,21.28,2.28,165.26,139.03,10.69,7.26,1283.37,106947.87
6,2016-05-18,1,2.7,8.3,19.58,5.65,2.8,2.38,16.14,6.5,138.47,48.13,0,16.04,267.37,59623.44
6,2016-06-28,1,4.4,8.2,22.34,7.21,2.16,2.87,25.7,4.36,138.53,299.45,14.26,14.26,7.13,86984.27
6,2016-08-24,2,2.9,8.4,19.64,7.54,2.36,NA,NA,NA,NA,64.17,12.83,17.11,25.67,95825.29
6,2016-09-20,1,2.5,8.3,20.03,8.19,2.26,NA,NA,NA,NA,727.25,42.78,58.82,10.69,41780.97
6,2016-10-18,2,2.5,8.3,17.62,11.41,NA,3.1,26.13,5.71,168.19,963.82,0,5.15,25.77,49481.22
6,2016-11-08,2,2.7,8.2,17.43,11.85,NA,2.85,30.84,6.43,174.71,1272.68,10.69,5.35,5.35,50051.6
6,2016-12-13,2,1.4,9,11.7,13.7,NA,2.98,35.2,11.78,187.91,263.8,28.52,7.13,14.26,104095.93
6,2017-01-11,2,1.1,NA,9.51,0.08,NA,1.59,27.49,6.21,242.15,85.56,0,14.26,28.52,406401.91
6,2017-02-08,2,4.3,NA,11.14,0.08,NA,1.87,27.56,4.57,250.17,299.45,0,10.69,459.88,195179.87
6,2017-03-21,2,3.8,NA,14.61,0.08,NA,1.54,16.63,4.36,230.93,477.79,0,61.11,377.79,157427.27
6,2017-04-18,2,4.6,NA,13.61,0.06,NA,1.06,9.85,3.11,229.32,924.95,0,23.12,23.12,99247.63
6,2017-06-22,2,2.6,NA,22.21,1.99,NA,1.66,14.49,3.34,202.34,71.3,12.11,7.13,7.13,90905.69
6,2017-07-25,2,2.3,NA,22.13,3.59,NA,1.87,11.99,4.57,101.68,156.02,10.07,35.23,55.36,216890.29
6,2017-08-22,2,3.5,NA,20.97,4.68,NA,2.19,18.13,3.07,158.34,298.78,7.26,13.58,40.74,214751.33
6,2017-09-19,2,2.9,NA,20.78,3.42,NA,2.5,20.63,4.78,196.13,386.44,27.09,86.98,1140.78,537591.3
6,2017-10-18,2,1.9,NA,17.45,8.24,NA,2.38,21.49,8.35,190.38,94.11,8.56,64.17,8.56,10878.13
6,2017-11-14,2,1.7,NA,15.49,10.35,NA,2.28,25.63,9.85,179.36,491.51,18.2,118.33,9.1,111439.68
6,2017-12-06,2,2,NA,12.45,8.7,NA,2.36,31.91,13.07,193.67,577.52,8.56,47.06,4.28,176250.09
6,2018-01-10,2,2.1,NA,10.48,8.99,NA,2.3,33.2,12.78,192.1,556.13,35.65,14.26,285.19,224590.53
6,2018-02-07,2,3,NA,12.43,4.04,NA,2.37,36.98,10.42,244.47,1518.66,4,0,10.69,318704.66
6,2018-03-15,2,4.9,NA,13.01,9.14,NA,2.47,35.48,10.28,187.28,521.91,8.56,8.56,25.67,160849.6
6,2018-04-18,2,2.4,NA,14.88,0.08,NA,2.13,16.92,4.85,237.34,896.6,0,70.32,0.4,132615.36
6,2018-05-07,2,8,NA,17.74,0.53,NA,2.28,18.35,4.21,221.38,3293.99,145.28,128.34,1026.7,755051.98
6,2018-06-11,2,2.7,NA,20.05,5.98,NA,3.13,45.48,5.71,172.34,311.68,6.11,55,6.11,239563.23
6,2018-07-12,2,3.1,NA,21.46,8.21,NA,2.9,27.77,2.93,167.79,1454.88,9.63,77.08,462.48,139745.22
6,2018-08-14,2,2.8,NA,21.23,8.19,NA,2.94,21.49,3.43,167.78,3453.89,17.53,1,17.53,480195.95
6,2018-09-18,2,3.3,NA,19.18,11.36,NA,3.26,24.7,4.85,179.5,1510.64,0,20.05,167.11,99247.63
6,2018-10-17,2,2.9,NA,17.82,14.39,NA,3.39,22.92,7.28,168.01,1082.36,5.15,41.23,77.31,142026.77
6,2018-12-05,2,1.8,NA,12.27,14.13,NA,2.93,30.2,12.14,150.36,1233.47,14.26,7.13,299.45,255961.91
6,2019-02-20,2,2.5,NA,9.06,0.08,NA,1.96,26.7,4.21,222.91,727.25,0,0,213.9,1771056.77
6,2019-03-20,2,4.6,NA,13.14,0.09,NA,1.83,20.49,3.36,282.24,975.36,0,419.24,25.67,260097.23
6,2019-04-25,2,4.2,NA,17.83,0.08,NA,1.76,10.78,2.43,256.58,1849.16,0,110.4,1711.17,117642.66
6,2019-05-14,2,4.7,NA,17.74,0.43,NA,1.94,13.56,3.21,214.94,1316.28,0,186.47,10.97,213895.74
6,2019-06-04,2,3.2,NA,19.73,0.07,NA,1.53,13.14,5.64,221.3,478.45,0,5.63,5.63,85130.51
6,2019-07-01,2,2.3,NA,21.3,1.8,NA,1.98,15.06,3.36,213.56,910.56,8.59,8.59,807.48,151152.99
6,2019-08-01,2,9,NA,22.42,4.64,NA,2.08,13.07,1.04,181.82,186,0,0,18.6,55612.89
6,2019-09-18,2,2,NA,21.74,2.21,NA,2.44,18.06,3.36,231.29,0,0,59.57,427.79,140315.61
6,2019-10-23,2,2.4,NA,17.43,8.09,NA,2.42,22.13,6.21,182.29,367.9,8.56,17.11,102.67,95825.29
6,2019-11-13,2,2.4,NA,14.96,11.42,NA,2.49,24.42,9.07,164.33,183.95,0,4.28,119.78,125770.7
6,2019-12-19,2,1.1,NA,11.24,4.92,NA,NA,NA,NA,NA,983.92,7.13,78.43,192.51,136893.28
6,2020-01-13,2,1.9,10.2,9.95,6.6,NA,2.29,37.34,15.06,252.99,222.45,4.28,17.11,213.9,41923.57
6,2020-02-12,2,2.6,10.3,11.02,4.32,NA,2.09,34.77,11.78,260.61,64.17,12.11,14.26,49.91,138319.25
9,1996-01-11,2,0.7,9.1,11.09,7.41,NA,NA,NA,NA,NA,0,0,0,0,0
10,2005-05-10,2,8.3,8.6,16.77,2.91,NA,NA,NA,NA,NA,0,0,0,0,0
11,1998-03-17,2,4.9,10.1,13.74,2.48,NA,1.6,30.2,5.31,244.48,0,0,0,0,0
12,2008-06-17,1,4.7,7.8,18.79,21.79,1.36,NA,NA,NA,NA,0,0,0,0,0
12,2014-03-11,2,4.9,8.4,14.85,16.06,NA,NA,NA,NA,NA,0,0,106.95,0,0
12.5,1995-04-18,2,4,NA,13.64,0.48,NA,NA,NA,NA,NA,0,0,0,0,0
12.5,1995-05-02,2,7.7,8.8,16.03,2.08,NA,1.51,18.92,4.07,222.13,0,0,0,0,0
13,1992-04-07,1,4.1,NA,16.12,19.19,3.3,NA,NA,NA,NA,963.2,28.4,0,0,0
13,1993-02-24,1,1.2,9.7,11.01,7.47,2.2,NA,NA,NA,NA,0,0,0,0,0
13,1993-04-15,1,5.2,9.2,16.44,9.21,2.8,NA,NA,NA,NA,0,0,0,0,0
13,1993-06-15,1,4.5,7.9,18.6,14.82,1.7,NA,NA,NA,NA,0,0,0,0,0
13,1993-12-07,1,0.9,8.5,11.5,21.54,1.2,NA,NA,NA,NA,0,0,0,0,0
13,1994-02-16,2,0.9,9.5,11.28,19,NA,NA,NA,NA,NA,0,1.2,0,0,0
13,1994-04-19,2,2.2,8.7,16.42,21.63,NA,NA,NA,NA,NA,0,0,0,0,0
13,1994-06-15,2,1.5,7.7,19.28,23.41,NA,4.02,34.42,5.97,107.62,0,0,0,0,0
13,1994-08-30,2,3,7.8,19.58,27.95,NA,NA,NA,NA,NA,0,0,0,0,0
13,1995-01-18,2,1.1,9,11.23,3.63,NA,NA,NA,NA,NA,0,0,0,0,0
13,1995-02-07,2,0.7,8.7,12.27,6.86,NA,1.8,27.16,5.73,213.88,0,0,0,0,0
13,1995-03-07,2,3.3,8.3,12.98,9.56,NA,1.8,26.98,5.48,205.52,0,0,0,0,0
13,1995-09-21,2,2.1,7.1,18.1,23.14,NA,2.67,16.91,5.97,88.61,0,0,0,0,0
13,1996-03-06,2,1.5,10,11.3,3.89,NA,NA,NA,NA,NA,0,0,0,0,0
13,1996-05-01,2,5.6,8.5,16.5,19.32,NA,NA,NA,NA,NA,0,0,0,0,0
13,1996-07-17,2,2.8,8,19.15,21.78,NA,NA,NA,NA,NA,0,0,0,0,0
13,1996-09-11,2,2.3,7.4,18.7,23.9,NA,NA,NA,NA,NA,0,0,0,0,0
13,1997-01-28,2,1.2,9.8,10.58,0.66,NA,1.77,31.73,5.64,213.54,0,0,0,0,0
13,1997-04-01,2,6.8,9,14.8,14.6,NA,1.76,21.82,3.87,127.78,0,0,0,0,0
13,1997-05-14,2,5.2,8.5,19.62,18.56,NA,1.48,5.11,1.21,32.54,187.5,0,0,0,0
13,1997-06-10,2,2.6,7.5,19.69,21.47,NA,2.73,21.69,9.89,87.53,0,0,0,0,0
13,1997-07-15,2,4,7.8,19.95,23.39,NA,NA,NA,NA,NA,1437.5,0,0,0,0
13,1997-08-05,2,2.2,7.7,20.34,22.63,NA,3.59,32.1,6.69,119.18,375,0,1.5,0,0
13,1997-09-09,2,4.8,8.5,21.28,21.63,NA,NA,NA,NA,NA,6875,0,0,0,0
13,1997-11-06,2,3.5,7.9,16.99,25.63,NA,2.76,19.95,5.71,97.37,6375,0,0,0,0
13,1998-01-06,2,1.2,8.8,11.01,23.66,NA,NA,NA,NA,NA,250,3.2,0,0,0
13,1998-05-19,2,13.3,NA,15.83,8.62,NA,1.41,16.56,3.22,183.97,0,0,0,0,0
13,1998-11-10,2,1.7,8,13.65,23.45,NA,NA,NA,NA,NA,120,0,2,0,0
13,1999-01-21,2,2.1,9.5,9.98,18.12,NA,2.01,25.55,7.94,130.42,138.6,1.6,0,0,0
13,1999-03-09,2,2.2,9.9,11.3,3.39,NA,1.2,17.26,3.94,244.25,1.6,0,0,0,0
13,1999-05-07,2,5.6,8.5,15.19,12.9,NA,1.94,21.59,3.6,160.89,398,0,0,0,0
13,1999-09-14,2,2.9,7.4,18.48,24.2,NA,NA,NA,NA,NA,450,0,0,0,0
13,2000-03-07,2,1.1,9,11.69,3.62,NA,NA,NA,NA,NA,0,0,0,0,0
13,2000-05-16,2,2.2,7.6,15.06,17.28,NA,2.27,20.33,6.16,127.05,1128.6,0,0.5,0,0
13,2000-07-11,2,1.3,7.5,18.31,23.42,NA,NA,NA,NA,NA,930.6,0,0,0,0
13,2001-03-27,2,4.5,8.3,15.06,17.42,NA,NA,NA,NA,NA,0,0,0,0,0
13,2001-04-24,2,9.3,9.1,14.73,19.58,NA,NA,NA,NA,NA,0,0,0,0,0
13,2001-09-11,2,5.1,7.7,18.24,28.45,NA,NA,NA,NA,NA,0,0,0,0,0
13,2002-03-19,2,6.1,9.3,12.57,12.19,NA,2.03,28.82,6.43,180.62,0,4,0,0,0
13,2002-04-16,2,7.2,8.4,15.99,17.04,NA,NA,NA,NA,NA,0,0,0,0,0
13,2002-05-07,2,5.1,8.9,15.59,21.01,NA,NA,NA,NA,NA,0,0,0,0,0
13,2002-07-16,2,2.5,8.3,18.75,24.44,NA,NA,NA,NA,NA,0,0,0,0,0
13,2004-08-24,2,3.9,7.5,19.75,26.59,NA,NA,NA,NA,NA,0,0,0,0,0
13,2004-09-14,2,16.2,7.8,20.51,26.35,NA,NA,NA,NA,NA,0,0,0,0,0
13,2004-11-03,2,6.2,8.2,15.3,24.73,NA,2.61,20.31,6.47,97.2,0,0,0,0,0
13,2005-04-12,2,8.4,8.4,15,11.23,NA,2.34,21.95,3.62,180.23,0,0,0,0,0
13,2005-06-21,2,4.5,7.5,18.36,16.77,NA,NA,NA,NA,NA,0,0,0,0,0
13,2007-04-03,2,7.8,8.3,14.88,21.01,NA,2.31,26.46,3.4,113.04,0,0,0,0,0
13,2007-11-14,2,6.2,7.7,14.88,27.91,NA,1.8,24.47,3.21,81.95,0,0,0,0,0
13,2008-06-17,2,6,7.8,17.57,25.27,NA,2.31,23.97,2.68,84.3,0,0,0,0,0
13,2008-07-15,2,8.1,7.5,19.86,27.02,NA,2.64,27.04,1.9,77.31,0,0,0,0,0
13,2009-05-19,2,6.2,8.5,17.3,20.46,NA,2.3,26.94,2.19,130.58,0,0,0,0,0
13,2009-09-22,2,6,6.9,19.58,27.44,NA,2.91,22.47,3.65,84.39,0,0,0,0,0
13,2009-10-29,2,4.1,7.8,15.02,27.04,NA,2.59,19.32,6.01,82.91,0,0,0,0,0
13,2009-12-03,2,5.5,8.1,11.77,27.19,NA,2.47,24.11,6.03,64.37,0,1.4,0,0,0
13,2010-03-30,2,4.6,8.3,14.42,22.3,NA,2.04,21.5,3.66,107.26,0,0,10,0,0
13,2010-04-13,2,6.5,8.8,13.35,20.83,NA,2.07,23.01,4.51,124.18,0,1.6,0,0,0
13,2010-08-17,2,6.9,8.1,18.6,26,NA,3.18,24.05,6.05,86.73,0,0,0,0,0
13,2010-09-14,2,5.7,7.6,18.52,26.08,NA,3.11,22.66,4.72,96.09,0,0,0,0,0
13,2010-12-16,2,5.1,NA,11.39,23.2,NA,2.49,27.94,8.87,99.87,0,0,0,0,0
13,2012-06-19,2,3.9,7.7,18.92,23.35,NA,3.04,28.73,3.2,NA,0,0,0,0,0
13,2013-04-23,2,6.2,7.7,14.77,25.74,NA,2.83,26.9,4.38,NA,0,0,0,0,0
13,2013-08-28,2,5,7.3,19.97,27.23,NA,3.57,23.87,4.51,NA,0,0,0,0,0
13,2013-09-26,2,3.9,7.3,18.03,27.75,NA,3.57,22.98,5.11,NA,0,0,0,0,0
13,2013-11-19,2,3.9,7.7,13.85,27.68,NA,3.81,31.86,3.83,NA,0,0,0,0,0
13,2013-12-03,2,3.7,7.6,12.48,30.06,NA,2.87,26,6.67,NA,0,0,0.2,0,0
13,2014-05-13,2,2.6,7.3,16.78,26.22,NA,2.9,27.6,5.2,85,0,45.83,4293.19,0,0
13,2014-10-15,2,4.9,7.4,19.21,27.63,NA,3.62,20.28,2.93,83.72,0,0,160.42,1082.85,0
13,2014-11-18,2,1.9,7.5,15.69,28.19,NA,3.23,18.63,3.43,70.23,0,7.26,85.56,770.02,27892.01
13,2014-12-10,2,1.9,7.7,14.98,23.88,NA,3.23,28.27,5.78,96.36,0,0.4,0,962.53,78499.74
13,2015-01-22,2,1.9,8.2,12.28,22.69,NA,2.67,26.13,7.21,108.85,0,27.24,4.54,635,42478.36
13,2015-02-18,2,2.5,8.1,14.69,24.7,NA,2.41,20.35,7,85.55,0,2,0,1413.24,53855.89
13,2015-03-17,2,2.1,8.1,15.73,26.77,NA,2.13,14.49,3.28,54.42,401.05,0.13,44.56,512.46,32307.17
13,2015-04-21,2,2.1,7.6,16.53,24.26,NA,2.9,20.7,5.64,82.38,509.28,5.19,50.93,2189.89,41149.47
13,2015-05-19,2,3,7.3,16.88,24.51,NA,3.03,25.92,6.21,83.05,695.16,106.95,53.47,2994.54,45452.85
13,2015-07-21,2,2.6,7,20.51,28.08,NA,3.3,24.79,5.18,68.07,370.2,20.57,0,1665.92,10324.58
13,2015-08-26,2,3.3,6.9,21.16,26.34,NA,3.59,22.58,1.3,81.43,684.47,43.58,7.26,1711.17,121321.67
13,2015-09-24,2,3.1,7.2,19.5,29.07,0.93,NA,NA,NA,NA,1633.39,0.4,0.4,0.4,52268.34
13,2015-10-15,2,3.8,7.3,19.82,28.44,NA,NA,NA,NA,NA,969.66,57.04,28.52,1511.53,18195.4
13,2015-11-18,2,3.6,8,14.21,27.91,0.97,NA,NA,NA,NA,891.23,7.26,35.65,641.69,25774.44
13,2016-01-21,1,1.5,8.8,11.88,23.95,1.16,2.13,20.7,11.35,60.52,151.12,38.75,81.37,267.37,19696.23
13,2016-02-10,1,1.6,8.5,12.77,19.19,1.86,2.53,28.49,9.14,129.93,177.57,32.29,0.4,570.39,38358.64
13,2016-03-09,1,2.2,8.3,14.48,14.23,1.68,2.42,30.41,8.14,147.26,309.7,20.05,2.23,106.95,13208.06
13,2016-04-27,1,2.8,8.2,16.29,16.5,2.23,1.55,6.93,4.64,51.74,329.07,36.2,3.63,19.74,32619.1
13,2016-05-18,1,4.5,8.1,18.6,22.55,0.45,1.9,16.21,6,70.52,1197.82,0,7.13,14.26,10523.67
13,2016-06-28,1,6,7.9,19.4,24.47,1,2.82,18.78,3.64,79.13,1774.08,12.58,188.73,213.9,38394.29
13,2016-08-24,2,3.5,7.5,19.25,23.38,NA,NA,NA,NA,NA,1359.43,0,133.09,38.03,29196.77
13,2016-09-20,1,2.4,7.4,19.08,26.37,1.62,NA,NA,NA,NA,316.57,0,68.45,171.12,25667.49
13,2016-10-18,2,2.5,7.5,16.98,27.14,NA,3.14,19.7,4.36,78.37,470.57,25.67,14.53,166.84,75719.09
13,2016-11-08,2,2.9,8.2,17.05,25.23,NA,2.91,23.63,6.28,112.1,320.84,17.11,0,34.22,34544.16
13,2016-12-13,2,2.1,7.8,12.38,27.82,NA,2.68,22.63,6,68.76,231.01,17.11,128.34,12.83,61815.87
13,2017-01-11,2,1.1,NA,10.02,5.9,NA,1.3,19.06,6.71,210.98,42.78,0,14.26,142.6,687318.33
13,2017-02-08,2,2.2,NA,11.31,3.27,NA,2.11,29.2,7.07,247.54,185.38,14.26,71.3,712.99,361483.81
13,2017-03-21,2,3.6,NA,14.89,5.09,NA,1.69,18.06,4.5,207.64,457.29,7.38,7.38,383.54,194217.34
13,2017-04-18,2,2.7,NA,14.1,7.17,NA,1.57,14.14,4.68,188.61,133.68,0,58.82,1604.22,86627.78
13,2017-06-22,2,5,NA,18.65,18.82,NA,2.34,18.78,3.18,123.33,546.62,17.82,41.59,17.82,79997.01
13,2017-07-25,2,3.6,NA,19.7,20.53,NA,2.85,16.99,7.07,93.84,668.42,26.74,187.16,2673.7,300345.27
13,2017-08-22,2,3.7,NA,20.06,22.73,NA,2.93,18.63,6.57,83.62,1445.94,8.56,77,427.79,183522.55
13,2017-09-19,2,2.6,NA,19.89,22.88,NA,2.94,19.49,7.85,93.32,787.14,0,188.23,14.53,301165.21
13,2017-10-18,2,1.8,NA,15.96,25.72,NA,2.71,20.42,6.28,84.87,102.67,0,0.4,4.28,25025.8
13,2017-11-14,2,2.5,NA,14.69,25.96,NA,2.77,21.99,8.78,85.52,684.47,4.75,0.4,4.75,51548.87
13,2017-12-06,2,2.1,NA,12.93,24.88,NA,2.64,21.85,9.35,86.5,612.75,11.12,224.89,7.01,188656.05
13,2018-01-10,2,2,NA,11.27,20.75,NA,2.55,28.41,11.49,114.24,312.29,0,72.72,1283.37,96253.09
13,2018-02-07,2,2,NA,12.99,20.91,NA,2.47,29.63,9.78,124.76,543.15,1.2,4.81,413.37,60104.7
